Team,Player,Position,Age,Experience,College,Games_Played,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Yds_total,Yds_avg,Yds_max,Y/R_total,Y/R_avg,Y/R_max,TD_total,TD_avg,TD_max,Ctch%_total,Ctch%_avg,Ctch%_max,Fmb_total,Fmb_avg,Fmb_max,FL_total,FL_avg,FL_max
Eagles,DeVonta Smith,WR,26.0,3,Alabama,59,408.0,6.688524590163935,13.0,281.0,4.60655737704918,10.0,3694.0,60.557377049180324,169.0,749.05,12.279508196721311,32.75,23.0,0.3770491803278688,2.0,4031.4,66.08852459016394,100.0,3.0,0.04918032786885246,1.0,3.0,0.04918032786885246,1.0
Falcons,Darnell Mooney,WR,27.0,4,Tulane,71,441.0,5.653846153846154,16.0,261.0,3.3461538461538463,12.0,3304.0,42.35897435897436,126.0,888.61,11.392435897435897,41.0,16.0,0.20512820512820512,2.0,4129.7,52.944871794871794,100.0,1.0,0.01282051282051282,1.0,0.0,0.0,0.0
Giants,Darius Slayton,WR,27.0,5,Auburn,86,440.0,4.680851063829787,15.0,252.0,2.6808510638297873,10.0,3793.0,40.351063829787236,154.0,1116.59,11.878617021276595,31.67,20.0,0.2127659574468085,2.0,4756.7,50.6031914893617,100.0,5.0,0.05319148936170213,1.0,3.0,0.031914893617021274,1.0
Rams,Demarcus Robinson,WR,30.0,8,Florida,141,391.0,2.7535211267605635,10.0,245.0,1.7253521126760563,9.0,2892.0,20.366197183098592,172.0,1168.66,8.23,89.0,26.0,0.18309859154929578,2.0,6646.0,46.80281690140845,100.0,6.0,0.04225352112676056,2.0,3.0,0.02112676056338028,1.0
49ers,Chris Conley,WR,32.0,9,Georgia,126,378.0,2.4076433121019107,9.0,221.0,1.4076433121019107,7.0,2926.0,18.636942675159236,103.0,1164.36,7.4163057324840755,35.0,15.0,0.09554140127388536,2.0,5729.1,36.49108280254777,100.0,5.0,0.03184713375796178,1.0,4.0,0.025477707006369428,1.0
Falcons,Drake London,WR,23.0,2,USC,44,317.0,7.044444444444444,13.0,202.0,4.488888888888889,12.0,2481.0,55.13333333333333,172.0,507.59,11.279777777777777,20.33,12.0,0.26666666666666666,1.0,2768.1,61.51333333333333,100.0,3.0,0.06666666666666667,1.0,3.0,0.06666666666666667,1.0
Saints,Marquez Valdes-Scantling,WR,30.0,6,North Carolina St.South Florida,101,387.0,3.55045871559633,11.0,194.0,1.7798165137614679,7.0,3382.0,31.027522935779817,149.0,1330.73,12.208532110091744,66.5,19.0,0.1743119266055046,2.0,4648.0,42.642201834862384,100.0,2.0,0.01834862385321101,1.0,2.0,0.01834862385321101,1.0
Cardinals,Zach Pascal,WR,30.0,6,Old Dominion,106,292.0,2.6545454545454548,10.0,169.0,1.5363636363636364,7.0,2057.0,18.7,109.0,771.58,7.014363636363637,28.5,16.0,0.14545454545454545,2.0,4446.0,40.41818181818182,100.0,1.0,0.00909090909090909,1.0,1.0,0.00909090909090909,1.0
Lions,Kalif Raymond,WR,30.0,8,Holy Cross,97,230.0,2.277227722772277,10.0,165.0,1.6336633663366336,6.0,2254.0,22.316831683168317,118.0,899.44,8.905346534653466,56.0,8.0,0.07920792079207921,2.0,5240.2,51.88316831683168,100.0,12.0,0.1188118811881188,2.0,4.0,0.039603960396039604,1.0
Lions,Tim Patrick,WR,31.0,6,Utah,65,259.0,2.3545454545454545,10.0,162.0,1.4727272727272727,7.0,2267.0,20.60909090909091,119.0,714.61,6.4964545454545455,26.0,12.0,0.10909090909090909,2.0,3559.6,32.36,100.0,2.0,0.01818181818181818,1.0,1.0,0.00909090909090909,1.0
